Scientific.name
Dicaeum hirundinaceum
Cochlospermum gillivraei
Nycticorax caledonicus
Trichosurus vulpecula
Aphyllanthes monspeliensis
Linum narbonense
Psilothrix viridicoerulea
Himantopus himantopus
Lactuca perennis
Sterna hirundo
Yponomeuta cagnagella
Centranthus ruber
Tragopogon porrifolius
Lasiommata megera
Limenitis reducta
Limodorum abortivum
Calopteryx virgo
Argiope bruennichi
Episyrphus balteatus
Crepis capillaris
Volucella zonaria
Sphaerophoria scripta
Vanessa atalanta
Vanessa cardui
Araneus diadematus
Motacilla flava flavissima
Picus viridis
Linaria vulgaris
Melitaea parthenoides
Raphanus raphanistrum
Serinus serinus
Succisa pratensis
Meliscaeva auricollis
Mycteria americana
Pomacea flagellata
Nymphaea ampla
Rostrhamus sociabilis
Tachycineta albilinea
Chlosyne janais
Juncus acutus
Calidris minuta
Passer domesticus
Digitalis purpurea
Charaxes jasius
Hyles livornica
Scolopendra cingulata
Mycteria leucocephala
Amaurornis phoenicurus
Amandava amandava
Antigone antigone
Clanga clanga
Anastomus oscitans
Anhinga melanogaster
Pavo cristatus
Dinopium benghalense
Lanius schach
Sturnia pagodarum
Centropus sinensis
Motacilla citreola
Canis aureus indicus
Macaca mulatta
Boselaphus tragocamelus
Dendrocitta vagabunda
Anas poecilorhyncha
Phylloscopus collybita
Ardea intermedia
Dicrurus macrocercus
Chrysomma sinense
Circaetus gallicus
Halictus scabiosae
Athene brama
Rucervus duvaucelii
Ocyceros birostris
Axis axis
Euploea core
Semnopithecus entellus
Moduza procris
Rusa unicolor
Sus scrofa cristatus
Coracias benghalensis
Merops orientalis
Nephila pilipes
Nettapus coromandelianus
Pseudibis papillosa
Junonia hierta
Euthalia nais
Junonia iphita
Catopsilia pomona
Psittacula eupatria
Hypolimnas bolina
Vanellus indicus
Saxicola maurus
Cuon alpinus
Lophophanes cristatus
Syntrichia montana
Enchylium tenax
Cartodere nodifer
Milesia crabroniformis
Iberis linifolia violletii
Narcissus assoanus
Granaria variabilis
Gonocerus acuteangulatus
Monacha cartusiana
Tetrix depressa
Granopupa granum
Cochlostoma patulum
Solatopupa similis
Jaminia quadridens
Acrotylus fischeri
Pyrrhocorax pyrrhocorax
Armeria maritima
Mythimna vitellina
Anthus berthelotii
Serinus canaria
Megachile sicula
Anarhynchus alexandrinus
Gallotia atlantica atlantica
Bucanetes githagineus
Euphorbia regis-jubae
Sphingonotus savignyi
Theba geminata
Frankenia ericifolia
Mesembryanthemum crystallinum
Chlamydotis undulata
Arenaria interpres
Ochrilidia harterti
Pica pica
Macrothylacia rubi
Draba verna
Dendrocoptes medius
Fringilla montifringilla
Holothuria poli
Diplodus annularis
Symphodus rostratus
Echinaster sepositus
Paracentrotus lividus
Labrus merula
Dentex dentex
Clibanarius erythropus
Coenonympha corinna
Sparus aurata
Mullus surmuletus
Calopteryx haemorrhoidalis
Aeshna juncea
Polyommatus coridon
Lycaena virgaureae
Thymelicus sylvestris
Argynnis niobe
Zygaena purpuralis
Sempervivum tectorum
Emberiza cia
Callimorpha dominula
Petrosedum rupestre
Tagetes minuta
Sonchus daltonii
Lavandula rotundifolia
Aeonium gorgoneum
Globularia amygdalifolia
Uresiphita gilvata
Zizeeria knysna
Oenothera rosea
Carica papaya
Chrysomya marginalis
Falco tinnunculus neglectus
Lantana camara
Grevillea robusta
Cyrtophora citricola
Borbo borbonica
Passer iagoensis
Dracaena draco
Bubulcus ibis
Danaus chrysippus
Coeliades forestan
Trithemis annulata
Lampides boeticus
Hypolimnas misippus
Adiantum capillus-veneris
Hyperechia bomboides
Clerodendrum speciosissimum
Macroptilium atropurpureum
Sesuvium portulacastrum
Siderastrea radians
Funambulus pennantii
Halcyon smyrnensis
Ardeola grayii
Ortygornis pondicerianus
Argya malcolmi
Copsychus fulicatus
